Frequency (Hz)	Level (dB)
0.672913	-49.367832
1.345825	-83.526085
2.018738	-70.770645
2.691650	-89.551865
3.364563	-71.684753
4.037476	-78.905777
4.710388	-85.786789
5.383301	-87.472656
6.056213	-79.460991
6.729126	-78.493401
7.402039	-73.643257
8.074951	-74.139931
8.747864	-74.459373
9.420776	-75.058289
10.093689	-70.358704
10.766602	-72.528267
11.439514	-76.622498
12.112427	-74.333015
12.785339	-81.197990
13.458252	-74.814796
14.131165	-74.250549
14.804077	-91.388824
15.476990	-78.972107
16.149902	-84.866119
16.822815	-76.375961
17.495728	-77.252975
18.168640	-80.435959
18.841553	-76.705635
19.514465	-75.431877
20.187378	-84.618317
20.860291	-84.454041
21.533203	-77.131233
22.206116	-77.186508
22.879028	-83.308861
23.551941	-78.343277
24.224854	-74.399231
24.897766	-69.975677
25.570679	-72.507065
26.243591	-81.266594
26.916504	-84.541557
27.589417	-78.522873
28.262329	-87.077919
28.935242	-81.017151
29.608154	-80.099602
30.281067	-92.899940
30.953979	-79.516518
31.626892	-81.813858
32.299805	-87.029961
32.972717	-82.433220
33.645630	-82.431595
34.318542	-80.413162
34.991455	-76.285995
35.664368	-86.447830
36.337280	-86.298904
37.010193	-79.821861
37.683105	-84.501976
38.356018	-96.172958
39.028931	-102.843948
39.701843	-83.513916
40.374756	-79.684723
41.047668	-94.416695
41.720581	-83.108261
42.393494	-79.571457
43.066406	-84.035126
43.739319	-85.217194
44.412231	-80.543716
45.085144	-79.287994
45.758057	-80.589668
46.430969	-81.072365
47.103882	-85.761032
47.776794	-78.763863
48.449707	-81.515678
49.122620	-70.446838
49.795532	-71.049469
50.468445	-74.596970
51.141357	-80.944023
51.814270	-88.441505
52.487183	-83.345139
53.160095	-83.900894
53.833008	-91.601189
54.505920	-90.878532
55.178833	-83.089851
55.851746	-79.219688
56.524658	-78.368042
57.197571	-83.791756
57.870483	-90.350502
58.543396	-82.793289
59.216309	-90.016747
59.889221	-88.314056
60.562134	-84.418488
61.235046	-85.913673
61.907959	-82.803947
62.580872	-82.044548
63.253784	-81.590172
63.926697	-74.485847
64.599609	-75.520615
65.272522	-76.711235
65.945435	-79.126999
66.618347	-80.635811
67.291260	-83.825233
67.964172	-90.778137
68.637085	-85.457306
69.309998	-103.149109
69.982910	-93.126160
70.655823	-88.851151
71.328735	-86.993912
72.001648	-86.575172
72.674561	-84.600266
73.347473	-87.615044
74.020386	-91.501495
74.693298	-89.918884
75.366211	-90.118423
76.039124	-92.909454
76.712036	-86.897919
77.384949	-87.870239
78.057861	-95.386978
78.730774	-89.666275
79.403687	-91.072411
80.076599	-85.917725
80.749512	-84.206131
81.422424	-87.715759
82.095337	-97.863853
82.768250	-96.684296
83.441162	-89.659637
84.114075	-89.386536
84.786987	-99.683907
85.459900	-94.348106
86.132812	-89.058945
86.805725	-92.943985
87.478638	-88.798904
88.151550	-89.393967
88.824463	-94.735916
89.497375	-93.299706
90.170288	-90.735977
90.843201	-92.239197
91.516113	-86.146065
92.189026	-87.459587
92.861938	-91.428566
